epoch,beta,loss,recon,kl,val_loss,val_recon,val_kl,val_recon_acc
1,0.0,0.03426140196984861,0.03426140196984861,18.347669568730563,0.025380466133356094,0.025380466133356094,10.806057929992676,86.44478607177734
2,0.0,0.012343270999447601,0.012343270999447601,8.922938823699951,0.008701150305569172,0.008701150305569172,11.15592098236084,93.09333038330078
3,0.0,0.008076637483588079,0.008076637483588079,6.958677408171863,0.0062873512506484985,0.0062873512506484985,8.85150146484375,94.20635986328125
4,0.0,0.006785938448113639,0.006785938448113639,7.2941121473544985,0.005855008959770203,0.005855008959770203,9.567829132080078,94.2890853881836
5,0.0,0.006012068879677028,0.006012068879677028,7.419683154036359,0.0051945289596915245,0.0051945289596915245,8.867437362670898,94.75428771972656
6,0.0,0.005548386232609429,0.005548386232609429,7.298231148138279,0.004846802446991205,0.004846802446991205,9.223716735839844,94.94489288330078
7,0.0,0.005249034908668297,0.005249034908668297,7.471641331184201,0.004459753632545471,0.004459753632545471,9.059354782104492,95.2049560546875
8,0.0,0.005054732954992753,0.005054732954992753,7.623711353395043,0.004379439167678356,0.004379439167678356,9.30055046081543,95.25241088867188
9,0.0,0.004809280607576777,0.004809280607576777,7.874233699426418,0.00435928488150239,0.00435928488150239,9.779117584228516,95.3445053100586
10,0.0,0.0045964690038888915,0.0045964690038888915,7.937040980269269,0.004071896895766258,0.004071896895766258,9.426639556884766,95.47106170654297
11,0.0,0.004392731162469562,0.004392731162469562,7.89651006605567,0.004058659542351961,0.004058659542351961,10.039094924926758,95.4862289428711
12,0.0,0.00435646974322636,0.00435646974322636,8.081012749090426,0.00388781214132905,0.00388781214132905,10.07894229888916,95.5257797241211
13,0.0,0.004200183178820625,0.004200183178820625,8.268370104999077,0.0036884183064103127,0.0036884183064103127,10.247814178466797,95.66859436035156
14,0.0,0.003985542060080461,0.003985542060080461,8.34280635089409,0.003679105080664158,0.003679105080664158,9.903024673461914,95.65118408203125
15,0.0,0.003916731427946105,0.003916731427946105,8.347335815429688,0.0035754800774157047,0.0035754800774157047,10.230052947998047,95.73680114746094
16,0.0,0.003795089665800333,0.003795089665800333,8.367530846014255,0.003737241495400667,0.003737241495400667,10.088729858398438,95.5697021484375
17,0.0,0.003727511480087187,0.003727511480087187,8.415161109552152,0.0036365692503750324,0.0036365692503750324,10.718000411987305,95.78326416015625
18,0.0,0.0036307112768110706,0.0036307112768110706,8.541568802624214,0.0035091927275061607,0.0035091927275061607,10.725339889526367,95.76484680175781
19,0.0,0.0036136091277911894,0.0036136091277911894,8.61634380061452,0.003583860117942095,0.003583860117942095,10.653399467468262,95.73783111572266
20,0.0,0.003508974559514261,0.003508974559514261,8.784621634134432,0.0033696796745061874,0.0033696796745061874,10.708648681640625,95.8451156616211
21,0.0,0.0034752780821446965,0.0034752780821446965,8.79767352778737,0.003367355093359947,0.003367355093359947,11.04867935180664,95.91087341308594
22,0.0,0.00343939507516419,0.00343939507516419,8.873298761321276,0.0035597491078078747,0.0035597491078078747,11.550250053405762,95.75469970703125
23,0.0,0.0033906723213631934,0.0033906723213631934,9.083499257157488,0.003407781245186925,0.003407781245186925,11.324165344238281,95.7513656616211
24,0.0,0.003335053351049016,0.003335053351049016,9.179876467076744,0.0032331899274140596,0.0032331899274140596,11.159364700317383,95.98680114746094
25,0.0,0.003231404741044815,0.003231404741044815,9.221296310424805,0.0032100086100399494,0.0032100086100399494,11.272103309631348,96.00152587890625
26,0.0,0.003186576113831706,0.003186576113831706,9.28245139703518,0.003213412594050169,0.003213412594050169,11.610905647277832,95.99746704101562
27,0.0,0.003137309285925656,0.003137309285925656,9.355328652916885,0.003189435228705406,0.003189435228705406,11.27950382232666,95.9806137084961
28,0.0,0.0031110176407709352,0.0031110176407709352,9.419335667679949,0.003331623272970319,0.003331623272970319,11.790760040283203,95.76193237304688
29,0.0,0.0030922312005536587,0.0030922312005536587,9.529114955809058,0.003069441532716155,0.003069441532716155,11.201043128967285,96.09445190429688
30,0.0,0.002981893349120893,0.002981893349120893,9.557894660205376,0.003194565186277032,0.003194565186277032,11.89787483215332,95.94644927978516
